CBG,City,High_Edu_Pop,Education_Level
484391013023,Arlington city,0,Lowest
484391013023,Arlington city,0,Lowest
484391064002,Arlington city,89,Lowest
484391064002,Arlington city,89,Lowest
484391065091,Arlington city,190,Low
484391065091,Arlington city,190,Low
484391065141,Arlington city,81,Lowest
484391065141,Arlington city,81,Lowest
484391113101,Arlington city,276,Medium
484391113102,Arlington city,471,High
484391113103,Arlington city,1121,Highest
484391113104,Arlington city,564,Highest
484391114021,Arlington city,238,Medium
484391114022,Arlington city,500,Highest
484391114023,Arlington city,517,Highest
484391114024,Arlington city,201,Medium
484391114041,Arlington city,424,High
484391114042,Arlington city,465,High
484391114044,Arlington city,236,Medium
484391114071,Arlington city,826,Highest
484391114072,Arlington city,264,Medium
484391114081,Arlington city,778,Highest
484391114091,Arlington city,1533,Highest
484391114092,Arlington city,554,Highest
484391115051,Arlington city,819,Highest
484391115052,Arlington city,424,High
484391115062,Arlington city,532,Highest
484391115063,Arlington city,279,Medium
484391115064,Arlington city,87,Lowest
484391115131,Arlington city,391,High
484391115132,Arlington city,355,High
484391115141,Arlington city,43,Lowest
484391115142,Arlington city,291,Medium
484391115143,Arlington city,152,Low
484391115144,Arlington city,190,Low
484391115161,Arlington city,491,Highest
484391115162,Arlington city,273,Medium
484391115163,Arlington city,439,High
484391115211,Arlington city,112,Lowest
484391115212,Arlington city,305,Medium
484391115213,Arlington city,363,High
484391115214,Arlington city,161,Low
484391115221,Arlington city,300,Medium
484391115222,Arlington city,185,Low
484391115223,Arlington city,9,Lowest
484391115224,Arlington city,118,Low
484391115225,Arlington city,21,Lowest
484391115231,Arlington city,166,Low
484391115232,Arlington city,247,Medium
484391115233,Arlington city,138,Low
484391115234,Arlington city,287,Medium
484391115241,Arlington city,218,Medium
484391115242,Arlington city,255,Medium
484391115243,Arlington city,268,Medium
484391115244,Arlington city,46,Lowest
484391115245,Arlington city,376,High
484391115251,Arlington city,204,Medium
484391115252,Arlington city,173,Low
484391115253,Arlington city,125,Low
484391115254,Arlington city,249,Medium
484391115261,Arlington city,130,Low
484391115262,Arlington city,385,High
484391115263,Arlington city,115,Low
484391115291,Arlington city,482,High
484391115292,Arlington city,568,Highest
484391115301,Arlington city,650,Highest
484391115302,Arlington city,892,Highest
484391115303,Arlington city,688,Highest
484391115311,Arlington city,107,Lowest
484391115312,Arlington city,298,Medium
484391115313,Arlington city,484,High
484391115314,Arlington city,275,Medium
484391115321,Arlington city,367,High
484391115322,Arlington city,305,Medium
484391115323,Arlington city,256,Medium
484391115324,Arlington city,961,Highest
484391115331,Arlington city,954,Highest
484391115332,Arlington city,773,Highest
484391115341,Arlington city,562,Highest
484391115342,Arlington city,319,High
484391115343,Arlington city,647,Highest
