City Name,CBG Code,Year,Median Household Income,Population Above Poverty,Population Below Poverty,Population With A Ratio Of Income To Poverty Level Below 0.5,Population With A Ratio Of Income To Poverty Level Between 0.5 And 0.99
Norfolk city,517100001001,2014,41467,974,111,88,23
Norfolk city,517100001001,2015,64432,873,118,95,23
Norfolk city,517100001001,2016,67692,875,111,87,24
Norfolk city,517100001001,2017,43616,785,106,85,21
Norfolk city,517100001001,2018,46696,805,197,87,110
Norfolk city,517100001001,2019,46397,625,146,55,91
Norfolk city,517100001001,2020,48214,703,109,29,80
Norfolk city,517100001001,2021,56198,772,103,35,68
Norfolk city,517100001002,2014,48143,1339,120,48,72
Norfolk city,517100001002,2015,49161,1135,220,77,143
Norfolk city,517100001002,2016,49421,905,205,81,124
Norfolk city,517100001002,2017,53750,863,177,70,107
Norfolk city,517100001002,2018,51875,838,231,130,101
Norfolk city,517100001002,2019,54541,1080,165,71,94
Norfolk city,517100001002,2020,58611,1092,150,74,76
Norfolk city,517100001002,2021,61563,1206,107,80,27
Norfolk city,517100002011,2014,32047,993,348,185,163
Norfolk city,517100002011,2015,34136,1222,405,165,240
Norfolk city,517100002011,2016,42284,1339,253,134,119
Norfolk city,517100002011,2017,41159,1303,205,72,133
Norfolk city,517100002011,2018,42587,1442,180,89,91
Norfolk city,517100002011,2019,44438,1497,184,80,104
Norfolk city,517100002011,2020,51208,1902,121,44,77
Norfolk city,517100002011,2021,48289,1281,113,53,60
Norfolk city,517100002012,2014,42500,1097,96,86,10
Norfolk city,517100002012,2015,41131,966,97,85,12
Norfolk city,517100002012,2016,41875,1127,90,81,9
Norfolk city,517100002012,2017,41651,1085,163,121,42
Norfolk city,517100002012,2018,48533,1163,170,124,46
Norfolk city,517100002012,2019,56042,990,126,71,55
Norfolk city,517100002012,2020,56900,1156,88,55,33
Norfolk city,517100002012,2021,55729,1059,107,61,46
Norfolk city,517100002021,2014,51369,586,141,56,85
Norfolk city,517100002021,2015,54167,609,161,63,98
Norfolk city,517100002021,2016,66071,701,125,74,51
Norfolk city,517100002021,2017,69135,665,88,22,66
Norfolk city,517100002021,2018,73281,761,100,20,80
Norfolk city,517100002021,2019,80313,765,61,0,61
Norfolk city,517100002021,2020,74180,739,43,0,43
Norfolk city,517100002021,2021,50278,632,60,0,60
Norfolk city,517100002022,2014,34044,862,274,55,219
Norfolk city,517100002022,2015,31674,745,366,82,284
Norfolk city,517100002022,2016,32500,774,377,69,308
Norfolk city,517100002022,2017,31932,739,452,94,358
Norfolk city,517100002022,2018,43125,675,191,82,109
Norfolk city,517100002022,2019,51471,742,93,68,25
Norfolk city,517100002022,2020,47031,721,93,66,27
Norfolk city,517100002022,2021,48900,733,115,67,48
Norfolk city,517100002023,2014,53611,857,258,1,257
Norfolk city,517100002023,2015,53611,963,260,26,234
Norfolk city,517100002023,2016,42031,742,281,35,246
Norfolk city,517100002023,2017,45962,765,282,35,247
Norfolk city,517100002023,2018,48953,975,38,19,19
Norfolk city,517100002023,2019,51375,865,40,20,20
Norfolk city,517100002023,2020,59609,1056,49,29,20
Norfolk city,517100002023,2021,66181,1240,59,38,21
Norfolk city,517100002024,2014,45991,635,222,108,114
Norfolk city,517100002024,2015,45795,703,139,73,66
Norfolk city,517100002024,2016,46875,702,134,124,10
Norfolk city,517100002024,2017,56538,837,88,88,0
Norfolk city,517100002024,2018,56326,973,122,122,0
Norfolk city,517100002024,2019,58657,1314,126,117,9
Norfolk city,517100002024,2020,57930,1404,132,120,12
Norfolk city,517100002024,2021,60712,1317,93,82,11
Norfolk city,517100003001,2014,55208,1059,58,38,20
Norfolk city,517100003001,2015,53750,978,89,46,43
Norfolk city,517100003001,2016,49076,1072,96,47,49
Norfolk city,517100003001,2017,59391,1102,84,28,56
Norfolk city,517100003001,2018,51731,1045,113,33,80
Norfolk city,517100003001,2019,60639,1135,83,28,55
Norfolk city,517100003001,2020,60726,949,202,157,45
Norfolk city,517100003001,2021,62863,771,184,138,46
Norfolk city,517100003002,2014,23333,431,332,119,213
Norfolk city,517100003002,2015,25216,402,302,138,164
Norfolk city,517100003002,2016,31310,450,215,126,89
Norfolk city,517100003002,2017,26856,554,139,111,28
Norfolk city,517100003002,2018,46100,521,156,47,109
Norfolk city,517100003002,2019,47995,764,173,50,123
Norfolk city,517100003002,2020,48045,685,139,17,122
Norfolk city,517100003002,2021,48074,728,202,22,180
Norfolk city,517100003003,2014,47560,1096,218,77,141
Norfolk city,517100003003,2015,58512,1243,204,63,141
Norfolk city,517100003003,2016,54667,1616,195,75,120
Norfolk city,517100003003,2017,50690,1264,108,58,50
Norfolk city,517100003003,2018,51410,1468,90,41,49
