"CBG Code","Accounting, Tax Preparation, Bookkeeping, and Payroll Services","Activities Related to Credit Intermediation","Activities Related to Real Estate","Administration of Economic Programs","Advertising, Public Relations, and Related Services","Agencies, Brokerages, and Other Insurance Related Activities","Amusement Parks and Arcades","Apparel Accessories and Other Apparel Manufacturing","Automobile Dealers","Automotive Equipment Rental and Leasing","Automotive Parts, Accessories, and Tire Stores","Automotive Repair and Maintenance","Bakeries and Tortilla Manufacturing","Beer, Wine, and Liquor Stores","Beverage Manufacturing","Book Stores and News Dealers","Building Equipment Contractors","Building Finishing Contractors","Building Material and Supplies Dealers","Business Schools and Computer and Management Training","Cable and Other Subscription Programming","Child Day Care Services","Clay Product and Refractory Manufacturing","Clothing Stores","Coating, Engraving, Heat Treating, and Allied Activities","Colleges, Universities, and Professional Schools","Commercial and Industrial Machinery and Equipment Rental and Leasing","Community Food and Housing, and Emergency and Other Relief Services","Consumer Goods Rental","Continuing Care Retirement Communities and Assisted Living Facilities for the Elderly","Couriers and Express Delivery Services","Data Processing, Hosting, and Related Services","Death Care Services","Department Stores","Depository Credit Intermediation","Drinking Places (Alcoholic Beverages)","Drugs and Druggists' Sundries Merchant Wholesalers","Drycleaning and Laundry Services","Electronic and Precision Equipment Repair and Maintenance","Electronics and Appliance Stores","Elementary and Secondary Schools","Employment Services","Florists","Foundation, Structure, and Building Exterior Contractors","Furniture Stores","Gasoline Stations","General Medical and Surgical Hospitals","General Merchandise Stores, including Warehouse Clubs and Supercenters","General Rental Centers","Glass and Glass Product Manufacturing","Grantmaking and Giving Services","Grocery Stores","Grocery and Related Product Merchant Wholesalers","Hardware, and Plumbing and Heating Equipment and Supplies Merchant Wholesalers","Health and Personal Care Stores","Home Furnishings Stores","Home Health Care Services","Household Appliance Manufacturing","Household Appliances and Electrical and Electronic Goods Merchant Wholesalers","Individual and Family Services","Inland Water Transportation","Investigation and Security Services","Jewelry, Luggage, and Leather Goods Stores","Junior Colleges","Justice, Public Order, and Safety Activities","Lawn and Garden Equipment and Supplies Stores","Lessors of Real Estate","Lumber and Other Construction Materials Merchant Wholesalers","Machinery, Equipment, and Supplies Merchant Wholesalers","Management of Companies and Enterprises","Management, Scientific, and Technical Consulting Services","Medical and Diagnostic Laboratories","Miscellaneous Durable Goods Merchant Wholesalers","Motion Picture and Video Industries","Motor Vehicle and Motor Vehicle Parts and Supplies Merchant Wholesalers","Museums, Historical Sites, and Similar Institutions","National Security and International Affairs","Nondepository Credit Intermediation","Nursing Care Facilities (Skilled Nursing Facilities)","Office Supplies, Stationery, and Gift Stores","Offices of Dentists","Offices of Other Health Practitioners","Offices of Physicians","Offices of Real Estate Agents and Brokers","Other Ambulatory Health Care Services","Other Amusement and Recreation Industries","Other Financial Investment Activities","Other Information Services","Other Miscellaneous Manufacturing","Other Miscellaneous Store Retailers","Other Motor Vehicle Dealers","Other Personal Services","Other Professional, Scientific, and Technical Services","Other Schools and Instruction","Outpatient Care Centers","Performing Arts Companies","Personal Care Services","Personal and Household Goods Repair and Maintenance","Postal Service","Printing and Related Support Activities","Professional and Commercial Equipment and Supplies Merchant Wholesalers","Promoters of Performing Arts, Sports, and Similar Events","Psychiatric and Substance Abuse Hospitals","RV (Recreational Vehicle) Parks and Recreational Camps","Rail Transportation","Religious Organizations","Remediation and Other Waste Management Services","Residential Building Construction","Restaurants and Other Eating Places","Scenic and Sightseeing Transportation, Land","Securities and Commodity Contracts Intermediation and Brokerage","Services to Buildings and Dwellings","Shoe Stores","Social Advocacy Organizations","Sound Recording Industries","Special Food Services","Specialized Freight Trucking","Specialty (except Psychiatric and Substance Abuse) Hospitals","Specialty Food Stores","Spectator Sports","Sporting Goods, Hobby, and Musical Instrument Stores","Support Activities for Air Transportation","Support Activities for Road Transportation","Technical and Trade Schools","Traveler Accommodation","Urban Transit Systems","Used Merchandise Stores","Warehousing and Storage","Waste Collection","Waste Treatment and Disposal","Wired and Wireless Telecommunications Carriers"
"510731003011","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"510731003012","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"510731003013","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"510950801022","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"511990503032","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"511990503052","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"511990503061","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"511990504011","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"511990505002","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"511990505003","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
